Title,Aid,View,Danmaku,Reply,Favorite,Coin,Share,Like,Dislike,Pts
[MSI季中冠军赛]5月11日 IG vs SKT,52163893,2198353,54420,14228,17587,37218,5900,55222,0,1500398
教你控制自己的梦，你可以无所不能，《盗梦空间》现实版【捕月说26期】,52114395,768822,9818,14898,43514,19353,3497,33652,0,1343780
【美人鱼名场面】SKT十六分钟输给IG后找到了英雄联盟的设计师,52208541,998339,2214,2132,36727,88761,24331,81892,0,1134462
陪玩小姐姐竟然满口骚话？【小潮国基网骗】,52132720,940957,6220,2437,33286,67716,3538,71722,0,1098774
【椭奇】人工智障爱酱♥ AIAIAI ♥ 一库哟！！,52027370,982754,2397,1544,26122,18400,1327,26859,0,997838
和小翔哥挑战全世界最辣的火锅！一口下去俩小伙泪流满面！,52166876,1495656,4378,2879,6343,20564,1391,52029,0,928956
慎点！IG对战SKT Faker会头晕的第一视角切屏剪辑！背景音乐都跟不上的速度！,52162754,1334017,2799,2495,5815,10515,4133,18968,0,847374
抖音快手有多低俗？从中国网游发展史，理性看待“抖音快手傻比”的若干问题。紫曰#08,52106034,673973,5133,6376,21051,46673,1328,50610,0,845789
徐老师来巡山214：峡谷人机再度成精 一级就蹲隐身提莫,52054466,1090516,1392,2310,4298,15757,514,33160,0,739243
泰国人妖秀和成人秀究竟有多刺激？！——视角姬Vlog,52006456,824316,8038,2713,11786,33290,2421,46080,0,735635
世界上最多BUG的神作游戏 让人停不下来,52044260,725687,8373,1841,13859,34005,1047,49413,0,713911
【嘟督】喜只狼的奇妙冒险！（第一话）,52244025,334534,3983,1203,29362,40104,1128,40908,0,686064
【主播真会玩女神篇】72：女流66逐渐菠化，瘦身大计迫在眉睫,52123475,678861,17325,1694,10724,55336,774,40336,0,669646
【韩国解说】IG vs SKT（中文字幕） 2019MSI 小组赛 day2,52195196,684907,2448,2471,11996,32876,2921,28042,0,653186
【STN快报第三季19】在？出来开黑顺便跟我谈恋爱,52068429,495905,9293,1789,11651,36744,635,29023,0,640733
【老E】你又打人！智障斗殴模拟器！,52079940,471615,4410,1116,13828,37165,1376,34601,0,610541
《复联4》百科：15个戴过无限手套的大佬，钢铁侠看完震惊了...,52040737,771498,3405,1520,4730,8083,820,23770,0,610409
【英语高能RAP】你从未看过的家有儿女英文版 !,52164597,489244,1584,934,20084,26556,4116,36680,0,605605
家里猫大哥腿受伤，老二立马预谋篡位，竟用屁崩走大佬！,52125554,695168,3664,2487,8626,25170,972,49262,0,599540
拥有价值百万的口红是啥神仙体验？突袭李佳琦的家,52156625,515441,5449,1968,15330,8478,4843,19539,0,584029
